"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/FI/2015","2015","FI","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/HR/2017","2017","HR","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/IT/2016","2016","IT","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/IT/2017","2017","IT","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/LU/2019","2019","LU","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/MT/2019","2019","MT","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/PL/2017","2017","PL","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/SI/2016","2016","SI","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/SK/2018","2018","SK","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/DE/2015","2015","DE","desi_1c3_5g","5g_pb","pc_spectrum_assigned",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/EE/2018","2018","EE","desi_1c3_5g","5g_pb","pc_spectrum_assigned",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c3_5g/5g_pb/pc_spectrum_assigned/EL/2017","2017","EL","desi_1c3_5g","5g_pb","pc_spectrum_assigned",,,
