"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","JC","it and other information services","W_GE10","10 and over","2018","2018",51.81,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2018","2018",35.9,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","53","postal and courier activities","W_GE10","10 and over","2018","2018",59.69,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","55","accommodation ","W_GE10","10 and over","2018","2018",58.27,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","56","food service activities","W_GE10","10 and over","2018","2018",24.69,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","58","publishing activities","W_GE10","10 and over","2018","2018",72.53,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","61","telecommunications","W_GE10","10 and over","2018","2018",65.32,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","68","real estate activities","W_GE10","10 and over","2018","2018",40.66,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2018","2018",52.68,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2018","2018",35.42,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2018","2018",26.3,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2018","2018",63.14,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2018","2018",48.85,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2018","2018",68.57,,
