"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2019","2019",6.96,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2019","2019",3.93,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0033","ict sector","W_GE10","10 and over","2019","2019",34.79,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2019","2019",3.43,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2019","2019",4.16,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2019","2019",8.67,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2019","2019",10.22,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2019","2019",16,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2019","2019",2.68,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",3.47,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2019","2019",7.2,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2019","2019",9.33,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2019","2019",18.11,,
